발언내용,2021일부,2021전체
"""그런 형태들로 좌우지간 있었고 그때 그래서 급식과 관련한 업무들이 되게 중복적이고 이렇다고 해서 정리가 필요하다 이런 말씀 드린 적이 있는데 그게 본청은 슬림화하면서 기획팀으로 간다, 그다음에 여타의 관리와 운영 이런 실무들을 진흥원에서 한다 이렇게 말씀하신 거죠?""",부정,중립
"""최근에 급식만족도가 있어야 학생들이 음식물 잔반 쓰레기도 여러 위원님이 지적하셨듯이, 그래서 조리종사원들이 실제 맛있고 또 영양가 있는 조리실습을 해야 된다 해서 그런 조리실습 과정도 운영하고 있습니다. 특히 금년에는 코로나19로 인해서 유튜브 동영상까지 해서 저희가 그런 부분도 전환해서 학교에 제공하고 있습니다.""",긍정,중립
효과는 있나요?,긍정,중립
"""네. 그게 도움이 되는 게 위원님, 학교마다 다른 데와 교류를 하면서 저런 학교는 저런 레시피도…….""",긍정,중립
2014년입니다. 그때 이후로 계속 운영하셨어요?,긍정,중립
여기에 보면 민원신청을 많이 했어요. 교육지원청에 민원을 많이 신청했는데 현재 11개 지원청이잖아요 여기에서 7개 지원청에 민원을 제기했는데요. 지난번 2020년도 강남서초에 18건의 민원이 접수가 됐어요. 18건의 민원이 접수됐는데 강남서초에 보면 123명 전원이 특기생으로 입학을 했어요. 일반 학생으로 전환한 학생 없습니까?,긍정,중립
"""전체 인원은 360명이 넘게 되어 있는데 학생들이 지금 300명 가까이 나왔습니다, 294명 정도로. 학원을 통해서 온 것은 100명까지도 안 되는 것으로 저희는 파악을 하고 있고요 학원도 나름대로 방역은 열심히 하고 있는 것으로 파악은 되고 있습니다.""",긍정,중립
그것은 가능합니다.,긍정,중립
이상입니다.,긍정,중립
"""노원이나 이런 데는 아주 구체적으로 되어 있습니다. 방역을 몇 번하고 정수기ㆍ화장실 점검을 어떻게 하고 등등 그렇게 있는데, 서대문, 송파 도서관도 없습니다. 주민들에 대한 서비스, 예의죠. 다음으로 정독도서관 관장님.""",부정,중립
안 씁니다.,중립,부정
예전에는 썼는데 지금은 안 씁니다.,부정,중립
"""2016년, 2017년, 2018년, 2019년, 2020년 죽 보면 미충원 학교도 굉장히 늘고 있고 지원율도 떨어지는 현실이죠?""",부정,중립
"""2021년도 내년인데 2019년에서 2020년 넘어갈 때는 100대 줄였어요. 지금 발표는 그렇게 하시고 실질적으로 집행은 이렇게 하시면 2021년에 지금 코로나로 어려운데 지금 4,000대를 다 해소할 수 있습니까? 이거 계획대로 진행할 수 있도록 꼼꼼히 챙겨야 되는 것 아닌가요?""",긍정,중립
그 점에 대해서 저희들도 우려하는 바도 있고 계속 또 주시를 하고 있는 입장이기도 하고요. 하지만 저희들이 그동안 성폭력 지도자에 대한 성폭력 징계의 결과가 경징계가 대부분인 그런 경우도 있었고 해서 어떤 신분상의 조치란 것이 배제에 이르지 못하는 부분이 좀 있습니다. 지금 한 열 분 정도 현재 재직을 하고 있고요 그중에 특히 중징계에 해당하는 부분이 한 분이 계시는데 그것은 학교 측하고 긴밀하게 협의하면서 주시하고 있습니다.,긍정,중립
"""네, 2018년부터 시끄러운, 논란이 많이 돼 있는 상황입니다.""",부정,중립
"""이게 2017, 2018, 2019년도 비교해 보면 계속 증가 추세에 있습니다. 물론 올해는 코로나19 상황으로 인해서 9월까지 데이터에 의하면 등교일수가 적다 보니까 줄어들긴 했습니다. 그건 별 의미 없고, 증가되는 추세 속에서 문제는 뭐냐 하면, 언론보도도 나왔어요. 가해 교사 추적해 보니 2명 중 1명이 교단으로 복귀했대요. 이것과 관련해서 우리 국장님 어떻게 생각하십니까?""",부정,중립
관련 사안의 중대성이나 이런 것들을 충분히 고려해서 내려진 결정은 저희들이 따를 수밖에 없는 한계는 있습니다.,부정,중립
"""음주운전도 마찬가지예요. 굉장히 이거 심각하거든요, 사회적으로 봤을 때도. 제가 봤을 때는 이 정도 일어나고 있다는 건 굉장히 심각하게 인식을 하셔야 된다 이렇게 봅니다. 특단의 대책을 마련해서 다시는 스쿨미투와 관련해서 이런 일들이 발생하지 않도록 조치를 부탁드리겠습니다.""",부정,긍정
이상입니다.,긍정,중립
"""추가로 하겠습니다. 평생진로교육국장님 오늘 질의하고 이 건에 대해서는 더 이상 질의 안 하도록 하겠습니다. 어쨌든 코로나19로 평생진로교육국에서 맡은 업무영역이 방역업무가 주다 보니까 상당히 고생도 많이 하셨고 또 물품구매에 따라서 오해 아닌 오해도 많이 받는 걸로 알고 있고 또 아쉬움도 많이 남습니다. 그럼에도 불구하고 또 이번 계기를 통해서 앞으로 이런 일이 발생됐을 때 좀 더 체계적인 그런 시스템을 통해서 구매할 수 있는 나름대로의 역량도 확보됐다 이런 말씀을 하나 드리고요. 마스크 구매와 관련해서 사실은 240만 매 이걸 했을 때 저희들이 그때 심사할 때도 문제가 있었다고 말씀드렸어요. 마스크를 베트남에서 가져오면서 벌크 포장해서 가져온 것, 원산지 표시도 없이 가져온 것부터 시작해서 또 지금 현재 마스크 선정 과정에 정성지표, 정량지표 이 자체가 어떻게 보면 우리가 부족했다, 적정성을 평가한다고 한다면 부족한 부분이 없지 않아 있었다 이런 생각이 들고, 수의계약할 때 하더라도 물건은 제대로 된 물건을 우리가 사실은 받았어야 되는데 그때 상황이 워낙 긴급했기 때문에 불가피한 선택이었다 이렇게 또 얘기할 수도 있겠습니다. 그리고 마찬가지로 지금 열화상카메라를 구매해서, 그 이후로 또 여러 가지 새로운 제품이 나와서 학교 현장에 꼭 접목해야 되는 제품이 나오다 보니까 얘기했던 대로 비접촉식 화상카메라까지 나왔어요. 그래서 지금까지 또 그 역할이 일정 부분 해 주고 있었습니다. 해서 본 위원이 말씀드리고 싶은 것은 이런 물품구매를 할 때 사실은 경제규모에 의해서 공동구매를 통해서 예산절약을 해 보자는 취지를 여러 차례 얘기한 바가 있습니다. 관련부서에서는 본 위원에게 그런 얘기를 하더라고요. “너무너무 힘든 데다 오해도 많이 받아서 일할 맛이 안 나고 이걸 지원청으로 돌려서 각자 구매를 통해서 그런 걸 좀 피하고 싶습니다.” 나는 그렇게 생각하지 않고 싶어요. 물론 진행하는 과정의 절차나 시스템에서 부족해서 아쉬움은 있지만 이게 부정이고 비리고 그게 없다고 우리 직원들도 확신하고 있기 때문에 앞으로 코로나 상황이 더 엄중한 상황에 오게 되면 지속적으로 업그레이드된 방역용품, 물품들이 나올 거란 말이죠. 그러면 우리 학교 현장은 지속적으로 또 써야 되고. 그런 과정에서 어떻게 하면 예산을 절약할 수 있을 것인가, 얘기했던 대로 입찰을 부쳐서 절약하는 방법도 있을 것이고 또 수의계약을 하지만 공동구매를 통해서 조금 더 가격을 인하시켜서 받을 수 있는 방법도 있을 것이고, 이런 부분들을 이제는 고민할 때가 됐다. 그리고 본 위원이 최초에 질의했기 때문에 수사 관청에서 저한테도 전화가 왔어요. 정보를 달라, 뭐를 달라. 제가 딱 드린 말씀이 정보 드릴 것도 없고 제가 파악한 바로는 직원들이 그 상황에서는 말 그대로 지계법에 의해서 제25조 제1항 제2호로 규정해서 수의계약을 했다고 하는데 제가 봤을 때는 정확하게 보면 제25조 제1항 제1호로 감염병 유행에 의해서 쉽게 얘기하면 한 거예요. 긴급복구에 의해서 한 게 아니라, 수의계약을. 그래서 그때 상황에서는 워낙 마스크가 품귀현상이었고 KF94나 이런 부분에 도저히 가격을 맞출 수 없어서 면 마스크를 조달했다는 측면으로 제가 얘기를 드렸던 바가 있어요. 그래서 그런 점으로 평생진로교육국에서 지금까지 업무를 해 왔다고 본 위원이 생각합니다. 그리고 존경하는 여러 위원님들이 이 부분에 대해서 다른 경로를 통해서 들은 얘기도 있을 것이지만 저는 그렇게 믿고 싶어요, 직원 여러분들이 절대로 여기에 어떤 사적인 욕심이 개입되지 않았다, 다만 워낙 처음 당한 일이다 보니 뭔가 우리가 준비하는 데 있어서 이 물품을 갖추는 데 있어서 좀 부족함이 있었다, 이것은 과감하게 시인할 필요가 있습니다. 그리고 두 번 다시 그런 걸 반복하지 않으면 되지 않겠습니까? 그래서 정리하자면 어쨌든 앞으로 이 방역물품이 계속적으로 구매될 때 좀 더 공동구매 방식을 취해서 다양한 시스템을 통해 가지고 예산을 절약하는 방향으로 저는 가줬으면 좋겠다는 말씀을 드리고 싶습니다. 국장님 어떻게 생각하세요?""",부정,중립
제가 계획이 있다기보다도 앞으로 그런 상황이 발생됐을 때를 얘기하는 거예요. 왜냐하면 지금 현재 있는 방역물품 자체가 실질적으로 지금까지는 기술력에 의해서 한계가 있었지만 이 방역사항이 계속 지속됨으로써 업그레이드된 제품들이 나왔고 또 그런 제품들이 방역현장인 학교현장에 쓰여야 될 때 그런 예산을 투입해서 구매하고자 할 때 예산절약 방법으로 그런 것들을 고민해 달란 취지예요.,긍정,중립
그러시죠. 이겨내십시오. 이상입니다.,긍정,중립
"""학교보건진흥원장님 그때 업무분장 할 때요……. 아, 부교육감님께 여쭤봐야겠구나, 업무분장하고 이럴 때 본청 슬림화 이렇게 하지 않았습니까? 그 이유는 뭐였죠? 가장 큰 목적은?""",중립,부정
간단하게 말해 주세요. 간단하게 질의하고 간단하게 답변 듣겠습니다. 그때 본청 슬림화의 목적은?,긍정,중립
그게 본청 슬림화만 하고 일은 엄청나게 더 늘어난 것 같습니다. 여기 학교보건진흥원도 보니까 5개 과가 구성이 되네요.,부정,중립
"""그런데 내용을 보니까 학교의 감염병 관리하는 것이라든지 이런 것을 예보를 준다거나, 지금 저희 지자체라든지 서울시에서 예보라든지 지금 엄청나게 많이 날아오거든요. 학교는 또 따로 관리해야 됩니까? 그리고 미세먼지도 학교의 미세먼지는 학교 맞춤형으로 관리하시겠다는데 이것은 또 어떻게 하는 겁니까? 학교마다 미세먼지의 질이 달라요?""",부정,중립
제가 보기에는 우리가 원래 업무들을 줄이기 위해서 본청 슬림화하고 그리고 상세업무들은 산하기관으로 내려가기로 했는데 산하기관으로 내려가면서 불필요한 이런 업무들이 늘어난 게 아닌가 하는 측면들도 보이는 것 같고요. 그래서 거기에 대해서 좀 더 분명한 답변들을 내일 준비해 주시길 부탁드리겠습니다.,부정,중립
이상입니다.,긍정,중립
성동구 출신 이동현입니다. 연일 계속되는 사무감사에 노고가 많으십니다. 먼저 지난번 교육정책국 행정사무감사 때 이미 보셨을 수도 있는데 제가 도서관과 관련해서 여쭤보겠습니다. 국장님이 대답하시는 것이 편하시겠죠?,긍정,중립
"""일단은 각 도서관에서 소유하고 있는 자료 자체가 100% 일치하지는 않고 있고요. 문제의 소지가 있거나 법원의 판결 이런 쪽으로 결정이 되는 도서에 대해서는 이용에 대한 제한이나 그리고 사실 도서관이나 평생학습관은 서울시민의 다양한 연령대에서 다, 전 연령대에서 이용하는 데다 보니까 도서에 따라서 전반적으로 전체 국민에 해당하는 법원의 판결로 이것은 금지돼 있다든지 이런 쪽은 바로 결정이 되고요. 지금 말씀하신 연령대별로 어린이도서로는 부적당하다거나 그러면 이용연령이나 이런 것에 대해서 결정을 하는 것은 자료선정위원회에서 다 하도록 이렇게 되어 있습니다.""",부정,중립
"""위원님 말씀에 전적으로 동감하고요. 저희들이 일괄적으로 내릴 수 있는, 본청 차원에서 바로 한 번에 할 수 있는 것보다는 권고를 통해서 각 도서관에서 그 해당하는 부분에 대해서는 심의를 거치도록 이렇게 하고 있고, 지금 말씀하신 도서에 대해서도 22개 도서관이 다 자료선정위원회를 이미 끝냈거나 지금 거치고 있는 중입니다.""",긍정,중립
"""또한 지금 몇 가지 오해들이 있는 책들이 있습니다. 그런 부분들, 특히 말씀하신 청소년 제한만 돼 있다든지 이런 것들은 시민들이 전체 제한인 줄 아세요. 그런데 그런 부분들은 우리가 오해를 살 수 있기 때문에 적극적으로 알려주시기 바라고요. 말씀하셨던 지침규정서는 저한테 꼭 제출하셔서 제가 보고 그 지침에 따라서 했는지는 추가적으로 오후에 질의하도록 할 테니까 오후질의 전까지는 지침서를 주시기 바랍니다.""",부정,긍정
"""좋습니다. 이어서 한 가지 더 말씀드리겠습니다. 민주시민생활교육과 관련돼서 말씀을 드리려고 하는데요. 국장님, 우리 생활평점제 알고 계시나요? 학생들의 생활평점제에 대해서 알고 계시나요?""",긍정,중립
네. 생활평점제에 대해서 어떻게 생각을 하시나요? 꼭 필요한 이유에 대해서 설명을 간략하게 해 주시겠어요?,긍정,중립
"""제가 직접 그 현황을 파악한 것을 듣지는 못했지만 그런 불만들이 있다는 얘기는 듣고 있고요. 저희들이 학교 구성원들, 특히 학생들의 목소리가 반영이 돼서 당사자들의 목소리가 반영되고 또 학교의 생활교육에 지장이 없는 큰 틀 범위 내에서 되도록 화합적인 학교민주화 차원에서 이것이 다루어져야 되지 않을까 생각을 하고요. 저희들 학생 인권을 통해서 해결을 할 수 있는 부분은 점진적으로 개선해 나가고 있습니다.""",부정,중립
기존에 없던 급식시설을 그런 법이 개정됨으로 인해서 불가피하게 급식실을 설치를 해야 되는 그런 경우도 지금 생기게 됐어요. 맞죠?,부정,중립
급식시설 지원이나 이런 것들도 새롭게 저희들이 또 고민을 해야 될 문제가 됐습니다.,중립,긍정
"""시행이 되면 이제 문제는 단설유치원 같은 경우야 뭐 충분히 교육청 자체에서 방안을 찾겠지만 특히 사립유치원 같은 경우에는 법이 시행됨으로 인해서 갑자기 없는 시설면적을 확보하게 되면 이거 어떻게 됩니까, 공간이 없는데?""",중립,부정
"""그래요? 좋아요. 보니까 조리장이랄까 식품보관실이랄까 급식관리실, 편의시설 등등 상당한 시설면적이 필요하거든요.""",긍정,중립
이랬을 경우에 갑자기 이렇게 영양사를 채용을 하면 여기에 대한 인건비 보강은 어떻게 대안을 가지고 계십니까?,부정,중립
그래요? 대안을 준비하고 있다 이거죠?,긍정,중립
"""위원님 말씀대로 저희들이 준비를 단기간에 끝날 수 있는 문제가 아니기 때문에 지금 시범학교 운영을 하고 시작을 했고, 저희들이 후년까지도 사실은 이 체계를 잡는 쪽으로 지금 강구를 하고 예산확보에 대한 방안을 마련하도록 하겠습니다.""",긍정,중립
"""제가 물론 그쪽에 또 말씀을 좀 드리겠지마는 그런 추세인 반면에 제가 교사 배치랄까 이런 등등에 대해서 말씀을 드릴 건데 여하튼 간에 공립, 특히 어떤 단설이라는 그런 개념의 환경이 상당히 뭔가 노력하지 않고 결과물이 좀 떨어지는 그런 추세라는 것을 지금 두 번째로 말씀드리고. 세 번째 말씀을 드리려고 하는 유치원 용도변경건도 사실은 오늘 소관이 아니네요?""",부정,긍정
이상입니다.,긍정,중립
그런데 그게 현실적으로 가능한지 저는 궁금한데 어떻게 가능합니까?,긍정,중립
"""저희가 많은 병원에 가서 사실 혈액검사를 하면 혈액검사실을 갖고 있는 병원들이 별로 없어요, 종합병원에만 있고 그런 전문검사실에 의뢰를 하지 않습니까? 그러면 바로 결과가 나오던데요? 이제 그런 것들도 한번 생각해 볼 수 있지 않겠나, 지금 교육청에서 갖고 있는, 보건진흥원에서 갖고 있고 있는 지금 이 한 명의 임상병리사와 기간제근로자 한 명 이렇게 해서 여기서 어떤 전문적인 그리고 우리가 신뢰할 만한 이런 검사가 되겠나, 그리고 그런 장비들은 사실 가격이 상당한 걸로 알고 있는데요 그런 거를 굳이굳이 따로 보건진흥원이나 이런 데서 또 준비를 해서 여기에 그런 분석실들을 또 만들어서 키우고 이런 것들이 정말 효과적인가 이런 생각을 하게 된다는 거죠. 왜냐하면 학교와 관련한 이런 것들은 각 지역 지자체나 이런 데서 보면 보건소도 있습니다. 보건소에서도 사실 이런 것들을 하고 있고요. 그러니까 이제 교육청이 단독으로 뭔가 자기네 완결적인 이런 사업들을 하겠다 이런 것이 아니라 필요한 부분들은 기왕에 있는 우리들의 지자체라든지 이런 데에 있는 시설과 역량 이런 것들을 활용해서 충분히 할 수 있지 않은가 하는 생각이 듭니다. 어떠십니까?""",부정,중립
"""이곳에서 해 줄 수가 있는데 역시나 1,300개 유치원 급식까지 플러스가 되면 2,100개의 기관을 하기에는 그쪽 자체가, 현재는 우리가 두 명이 하지만 인력으로 봐서는 또 몇 명이 더 늘어난다고 하는 측면에서 어려움을 호소하고 있고요. 또 하나 저희 분석실이 갖고 있는 특징이 뭐냐 하면 학교급식법에 의해서는 접촉표면에 관한 것만 하는데 저희는 안전성을 강화하기 위해서 식중독 검사라든지 해썹(HACCP) 검사를 추가적으로 하기 때문에 다른 시도 교육청보다는 식품에 대한 안전성 검사를 강화하는 측면이 있습니다.""",부정,중립
말을 끊어서 죄송합니다 저희가 시간이 제한되니까 말을 자꾸 끊게 되는데…….,중립,부정
더 짧게 말씀드리겠습니다. 그래서 그것을 위센터도 있고 정신원스톱지원센터도 있는데 일시에 4월에 검사를 하고 5월에 함께 하다 보니까 그런 것을 같이 지원하기 위해서 필요한 부분이 있습니다. 그래서 그런 것을 지원하기 위해서 있다는 말씀을 드리겠습니다.,긍정,중립
본청 슬림화는 맞는데 그중 하나가 직속기관이 8개가 있고 도서관이 있는데 특히 직속기관 8개는 특성에 맞는 기능을 강화하자고 하는 내용이 있습니다. 그래서 저희 보건진흥원 같은 경우는 어제 말씀드렸지만 학생들에 대한 복지건강 문제를 촘촘하게 더 지원하는 것을 강화하는 그런 조직개편…….,긍정,중립
내년 계획은 어떻습니까?,긍정,중립
해마다 30개 정도 늘려가고 있는 상황인가요?,긍정,중립
30개씩 늘려서 수준을 엇비슷하게 만들면 꽤 시간이 흘러야겠네요. 초등학교 같은 경우는 학교 숫자가 더군다나 굉장히 많지 않습니까?,부정,중립
"""공간도 사실 공간이지만 전문상담 인력에 대한 부분이 오히려 내용이 커서 저희들이 공무직 인력이 더 추가되는 부분, 교사 이런 여러 가지 문제가 있어서 그렇습니다.""",부정,중립
그것 플러스 특수학교 31개 교가 있는데 여기는 왜 하나도 설치가 안 돼 있습니까?,중립,부정
전반적으로는 저희들이 현실적인 어려움이 있다는 말씀을 먼저 드리고 싶고요. 다른…….,중립,긍정
"""그러니까 현실적인 어려움이 있다는 게 국장님, 생색내기용 사업들 다 줄이면 이거 꼭 해야 되는 사업은 충분히 할 수 있습니다. 그렇지 않습니까?""",부정,중립
그거는 예산이 여유가 있을 때 이 기본적인 사업들 다 완수해 놓고 해도 늦지 않습니다. 저는 그런 생각이 드니까요 유념해 주시기 부탁드리겠습니다. 이상입니다.,부정,긍정
"""아니, 제가 말씀드리는 건 있냐고 없냐고 답변만 해 주세요. 있었어요, 그동안에?""",부정,중립
"""내가 고민한 게 아니고요 교육감님 공약사항이에요, 공약사항. 다만 나는 그것을 잘 지켜지게 하기 위해서 말씀을 드리는 거고 그나마 서울시한테도 제가 협조요청을 했어요. “이번에 초등학교 50몇 억 들어가는데 그걸 좀 해 주라. 그러면 내가 교육청하고 추후에 좀 더 협의해서 더 좋은 방향으로 나갈 수 있도록 하겠다.” 이렇게까지 사정을 했어요. 그런데 예산조정 과정에서 전액 삭감된 거예요. 그러면 그거를 어떻게 해서든 좀 확대하고 살리려고 하는 노력이 있었어야 된다는 얘기예요. 아니, 안 해 주는 거보다 해 주는 게 더 좋다고 한다면.""",부정,중립
그래서 그런 부분을 구체적으로 협의하기 위한 협의체를 구성해서 운영하고 그 결과를 별도로 보고드리도록 하겠습니다.,긍정,중립
좀 부탁을 드리겠습니다.,중립,긍정
여러 가지 문제가 있는 건 사실입니다.,부정,중립
그래서 제도적으로 좀 더 미비점을 갖춰야 될 부분도 있지만 혹시 법적 근거 없는 학교와 사업자 간의 협약서 이런 요구사항이 있나요?,부정,중립
법적 구속력도 없겠네요?,부정,중립
"""어쨌든 보니까 장기간에 걸쳐서 교육환경영향평가 심의가 통과되지 않아서 사업자 입장에서 애로사항을 많이 얘기하는 부분도 없지 않아 있습니다. 그런데 제가 보니까 지원청에서 교육환경영향평가 안을 본청으로 제출할 때 가급적이면 지원청에서 빨리 검토해서 그 결과가 어떻게 나오든 간에 본청에 심의를 올릴 수 있도록 해 줘야 돼요. 기간단축이라는 거죠. 그런데 보면 지원청에다 올리고 나서 한참 있다가 본청으로 오다 보니까 상당한 기일이 소요됨으로써 사업자 입장에서는 당연히 금융 차입을 통해서 이 사업을 진행하는 과정에 금융부담을 질 수밖에 없는 애로사항이 있다 보니까 교육청에 대한 불만도 만만치 않게 있는 것 같아요. 그런데 물론 지금 우리 교육청에서 교육환경영향평가심의를 할 때 적극적으로 사업주 입장도 반영해서 고려하고 있다는 것을 본 위원이 알게는 됐어요. 그럼에도 불구하고 우리가 그런 대민서비스 차원에서 필요하다면 심의 절차에 걸리는 시간을 좀 더 앞당길 수 있는 그런 방법들은 지원청에서 접수가 되면 즉각적으로 본청으로 이것을 제출해서 본청에서 심의가 이루어지고 그 심의 결과에 따라서 다시 보완이 이루어지면, 가급적이면 심의위원들의 활동 측면에 제약은 있겠지만 그런 심의를 적극적으로 잡아서 그게 빨리 접수되고 심의 절차를 거칠 수 있도록 해 주는 것이 도움이 되겠다 본 위원이 그것을 느끼게 됐습니다. 그래서 지금 우리 교육청에서 교육환경영향평가로 담당자가 상당히 과중한 업무로 스트레스를 받고 있는 것도 사실이고 그래서 본 위원이 이 부분은 잘못했다 그런 측면보다는 개선적인 측면에서 그 부분을 꼭 신경 써 주시기를 부탁드리겠습니다.""",부정,중립
이상입니다.,긍정,중립
"""김수규 위원입니다. 어제 질의과정에서 부적절한 그런 내용이 있었는데, 제보자의 실수로 제 발언이 적절하지 못한 발언이 있었던 부분이 있었는데 이 부분에 대해서는 사과드립니다. 그리고 오늘 질의할 내용에 대해서 국장님께 질의하도록 하겠습니다. 우리나라의 문화가 세계화된 것에 대해서 공감하시나요?""",부정,중립
그런 한류라는 예술 부분에서 성장하기 위해서 많은 노력들을 하고 있는 학생들이 있어요. 어제는 제가 중1에 대해서 질의를 드렸는데 오늘은 고1에 대해서 질의를 드리려고 합니다. 예술인들이 많이 배출되는 한림예고 아시죠?,긍정,중립
교육청에서 안이하게 대처했다고 저는 생각을 합니다.,부정,긍정
저희들이 학력인정 평생교육시설이 11개가 있는데 한 학교만 빼놓고 다 개인설립자가 돼서 지금 말씀하신 어려움이 앞으로도 계속 진행되지 않을까 하는 어려움이 있고요.,부정,중립
법인화를 학교에서 적극적으로 추진하려는 의사가 있는 데가 사실 몇 군데 없습니다.,긍정,부정
법인화에 대한 어려움이 있지 않을까 하고요.,부정,중립
저는 법인화를 못 하는 이유가 사유재산에 대한 침해라고 생각을 할 수도 있다는 개인적인 생각을 하고 있어요.,부정,중립
지지난해부터 학력인정학교에 대한 수업료 부분에 대해서 지원을 해 주신 데 대해서는 개인적으로 감사드리고요. 다만 한 가지 더 부탁을 드리자면 지금 고등학교까지 무상급식이 되고 있지 않습니까?,긍정,중립
학력인정학교 또한 확대해야 되지 않나 싶은 생각이 드는데 국장님 생각은 어떠세요?,중립,긍정
저희들이 또 학력인정 평생교육시설을 하더라도 학교에 준하는 지원을 해 드리는 것이 지금 목표입니다. 다만 시설에 대해서는 연세 드신 분들이 많은 그런 부분도 있고 또 학교의 운영시간이라든지 이런 부분도 있고 해서 지금 현재는 자체적으로 도시락이나 이런 쪽 급식을 하는 데도 있고요 오전에 거의 다 끝나는 학교도 있고요. 그래서 여러 가지 방안이 있어서 무상급식이 전면화되는 시점에 맞춰서 저희들이 그거는 적용 여부를 더 검토를 해 봐야 될 것 같습니다.,긍정,중립
"""마무리하도록 하겠습니다. 한림예고에 대한 어떠한 방법을 확실하게 답은 제가 못 들었는데 노력하겠다 이거잖아요, 지금?""",긍정,중립
제가 보기에는 학교보다도 교육청에서 너무 안이하게 대처하신 것 같아요. 그러니까 책임을 지고 예술학교 지원 학생들에게 그 과와 비슷한 거라도 아니면 요구하는 사항을 자세히 듣고 고입에 진학할 수 있도록 길을 좀 열어줘야 될 것 같아요.,부정,긍정
"""의지 문제인데요. 서울시 자료를 봤어요. 존경하는 우리 김용연 부위원장님도 지적이 있으셨고 그랬는데 서울시교육청 경력경쟁 임용시험에 채용된 특성화고등학교 학생 수를 확인했고요. 서울시 고졸자 경력경쟁 임용시험 최종합격자 현황을 좀 받아봤습니다. 여기도 마찬가지로 보면 2018년에 선발 예정인원이 57명, 합격자 60명. 2019년에 82명, 합격자 85명. 2020년에는 선발 예정인원이 50명이에요. 아세요?""",부정,중립
"""그런데 그 의지를 한번 다시 확인하겠습니다. 예방 프로그램 사업을 운영하고 있는 학교, 현재 오히려 2018년보다 2020년이 110개 학교가 줄어요. 확인 다시 하십시오. 예방 프로그램 사업도 줄었고요. 그 관련된 프로그램 예산 2018년에 125억을 썼고, 아니 12억 5,000. 2019년에 8억 9,000을 씁니다, 이 예방프로그램 사업에. 2020년에는 6억 6,000을 씁니다. 아니, 정말로 필요하고 정말 의지를 갖고 노력하겠다 했는데 그 프로그램을 운영하는 학교도 줄고 예산도 줄고. 아니, 어떻게 확인합니까? 이게 의지를 가지고 계신 건가요?""",부정,중립
"""아니, 관심이 있으신데 어떻게……. 아까 헌법을 말씀드린 것은 우리 헌법 제10조 얘기했죠? 헌법 제10조보다 더 중요한 게, 저는 더 와닿는 게 독일연방헌법 제1조 제1항 “인간의 존엄성은 불가침이다. 이를 존중하고 보호하는 것은 모든 국가권력의 의무이다.” 교육청, 서울시의 의무다……. 폭력으로 다친, 상처 난 이런 기억들, 내 존엄성이 무너지는 여러 가지 것들, 아이들이든 어른이든 그걸 누가 보호해 줍니까? 발생한 다음에 보호해 줄 게 아니라 사실은 예방교육을 통해서 상황을 만들어 줘야 되는 거 아닌가요? 그런 의지를 갖고 있다고 말씀하시면서 예산도 줄이고 있고요 예방 프로그램 학교도 줄이고 있고 이게 이해가 됩니까? 더 재미있는 건 여러 가지 문제 때문에 학교통합지원센터를 설치해서 그 모든 사업을, 학폭위 이 업무를 이관하고 있죠.""",부정,중립
"""업무의 효율성 학교에서 뭐 역점을 둘 건 두고 이렇게 전문 분야를 나눠서 한다는 건 좋습니다. 하지만 그렇게 하다 보니까 폭력이 발생한 배경, 사연, 이유, 관계 좀 이런 것을 많이 아시는 분들이 하는 게 더 심도 있는 심의가 될 텐데 이런 문제점 하나, 또 두 번째, 한정된 인원이다 보니까 서부교육지원청의 경우는 심의에만 1,493시간이 걸린답니다, 187일. 이렇게 시간이 걸리면 기다리는 사람도 답답할 거고 심의하시는 분들도 힘드실 거고, 게다가 행정전담인력이 부족해서 굉장히 심리적으로 압박을 받을 수 있는 상황도 지금 만들어주고 있는 거예요. 이런 걸 해결하기 위해서 사실은 예산도 지원하고 전담인력도 확충해서 빨리빨리, 그러니까 그냥 속도를 얘기하는 게 아니라 오랜 시간 지연되면서 받는 이런 불편함이 없도록 또 학생도 학부모도 관계된 사람도 선생님도 또 전담인력도 서로 행복할 수 있게끔 그렇게 좀 더 고민해야 되지 않을까요? 이런 상황이다 보니까 경향신문이나 뭐 조선일보에서 계속 이 문제를 지적하고 있는 거죠. 어떻습니까? 좀 해결해 주지 않으실래요?""",긍정,중립
오히려 그 문제를 해결하기 위해서는 위원님들의 도움이 필요합니다. 지금 예산도 인력도 거기에 쏟아 붓는 업무부담 이런 것들 때문에 사실은 학교폭력과 관련된 업무처리하는 학교든 교육지원청이든 교육청이든 업무부담이 상당히 많은 부분이 있어서 거기에 대한 지원이 좀 더 필요한 그런 상황이어서 위원님께서 많이 도와주시면 감사하겠습니다.,중립,부정
단순한 행정착오 그런 거였으면 좋겠습니다. 의도적으로 그런 것이 없었다고…….,부정,중립
지금 그렇게 하고 있다 이거죠?,긍정,중립
